Title,Tags,Answered,Link,With code,matched_keywords,performance issue,factor,description,tag,problems root causes,how to fix,label_1,label_2,final_label
how to use ddms for memory leaks in c++ code,"android,android-ndk,ddms",True,https://stackoverflow.com/questions/15386339/how-to-use-ddms-for-memory-leaks-in-c-code,True,memory leak,No,No,,,,,0,0,0
Decode File From SdCard android to avoid out of memory error due to large bitmap or setImageURI,"android,image,resources,sd-card",True,https://stackoverflow.com/questions/15377186/decode-file-from-sdcard-android-to-avoid-out-of-memory-error-due-to-large-bitmap,True,out of memory,No,No,,,,,0,0,0
Why doesn't onSensorChanged cause slowdown on the UI thread?,android,True,https://stackoverflow.com/questions/15373584/why-doesnt-onsensorchanged-cause-slowdown-on-the-ui-thread,True,slowdown,No,No,,,,,0,0,0
Out of memory on a 9830416-byte allocation with bitmap,"android,bitmap",True,https://stackoverflow.com/questions/15335183/out-of-memory-on-a-9830416-byte-allocation-with-bitmap,True,out of memory,Memory Consumption,Image,Image Loading,example,,,1,1,1
Android post high res image running out of memory,"java,android,image,post,upload",True,https://stackoverflow.com/questions/10350353/android-post-high-res-image-running-out-of-memory,True,out of memory,Memory Consumption,Image,"Image Upload.
I'm busy for android to upload images from a app.
I also got it working (code will follow below).
But when i send large images (10 megapixels) my app crashes with an out-of-memory exception.
A solution for this is to use compression but what if i want to send the full size image?
I think perhaps something with a stream but i'm not familair with streams. Perhaps urlconnection might help to but i really have no idea.

I give the filename the name File[0 to 9999].jpg The post value with the image date is called Filedata I give a UID for the post value dropboxid

The code below works but i would love to solve my problem that prevents me from sending high res images.


When using ByteArrayOutputStream and then calling #toByteArray() you've effectively doubled the amount of memory the JPEG is using. ByteArrayOutputStream keeps an internal array with the encoded JPEG and when you call #toByteArray() it allocates a new array & copies the data from the internal buffer.

Consider encoding large bitmaps to a temporary file & using FileOutputStream and FileInputStream to encode and send the image.

Without ""uploading"" - your app survives ""nicely"" with the just the huge bitmap in memory I assume?
",,,,1,1,1
"Turn on ""Force Gpu Rendering "" programmatically","android,gpu",True,https://stackoverflow.com/questions/10313985/turn-on-force-gpu-rendering-programmatically,True,GPU rendering,No,,,,,,0,0,0
Out of memory Fatal Exception,"android,out-of-memory,bitmapfactory",True,https://stackoverflow.com/questions/10278686/out-of-memory-fatal-exception,True,out of memory,No,No,"I have an Activity that contains 12 ImageViews. In onCreate method I load 12 photos in these ImageViews using BitmapFactory.decodeStream(...).
When I come to this page and return back for 10 times I get the following Out of Memory Exception.
Why I get this error and how can I release resources to prevent this exception?

Maybe, decode your images with the nearest size of your ImageViews (see this : Strange out of memory issue while loading an image to a Bitmap object)

",,,,0,0,0
Getting Out of memory on a 3001616-byte allocation error for bitmap decoding,"java,android",True,https://stackoverflow.com/questions/10224306/getting-out-of-memory-on-a-3001616-byte-allocation-error-for-bitmap-decoding,True,out of memory,Memory Consumption,Image,"I'm actually getting this error on method Load image inside it i'm doing
i set options size to:

bmOptions.inSampleSize = 1;

the method in which the error points line decodeStream()..


This class scales an image in a memory effecient way to a precise size, it also does some auto rotation, you might want to disable that or pass in the angle. Is based on post here: http://zerocredibility.wordpress.com/2011/01/27/android-bitmap-scaling/",,,,1,1,1
Android app: ANR keyDispatchingTimedOut error,android,True,https://stackoverflow.com/questions/10192868/android-app-anr-keydispatchingtimedout-error,True, ANR ,No,No,,,,,0,0,0
Storage space of the phone [closed],"android,storage",True,https://stackoverflow.com/questions/10151041/storage-space-of-the-phone,True,storage space,No,,,,,,0,0,0
Out of memory errors on orientation change,"android,memory-leaks,screen-orientation,osmdroid",True,https://stackoverflow.com/questions/13831101/out-of-memory-errors-on-orientation-change,True,out of memory,Memory Consumption,Activity,"I have an app which uses an osmdroid mapactivity.

Every time the screen orientation the heap size grows and after a couple of orientation changes I get the following errors:
I  have an Activity which holds two fragments and both of those fragments extend one abstract fragment which initialises the MapActivity.",,,,1,1,1
Android memory leaks heap gc_concurrent,"java,android,performance,memory,memory-leaks",True,https://stackoverflow.com/questions/13769948/android-memory-leaks-heap-gc-concurrent,True,memory leak,Memory Consumption,Activity,"Activity Reference
Can somebody tell me why am I having these memory leaks? It happens when splash screen needs to finish itself (basically call a new activity) And again it happens when I'm opening a new page (new activity) on a button click in the menu.
Log cat memory leaks :

I don't see any leak here unless you hold a reference to one of these activity somewhere else. For example MPlayer is not private or protected so if you hold a reference to it in another instance you might have a leak.

It is normal to have garbage collection when the MediaPlayer is involved. It can take a lot of memory

Your MainActivity stays in memory even if a new Activity is started. If you don't want that call finish(); after startActivity();
",example,,,1,1,1
Huge latency between onPreExecute and doInBackground in AsyncTask,"android,multithreading,android-asynctask",True,https://stackoverflow.com/questions/13744587/huge-latency-between-onpreexecute-and-doinbackground-in-asynctask,True,latency,Responsiveness,AsyncTask,"Huge latency between onPreExecute and doInBackground in AsyncTask



You are likely calling a framework or some library that is also using an Async Task. This would manifest in a slowdown on later versions of Android.

AsyncTasks are now run sequentially. That means a new async task won't run until the last one was finished. Instead of calling execute try calling executeOnExecutor(AsyncTask.THREAD_POOL_EXECUTOR, """");

This will likely reduce the latency to negligible levels.",example,,,1,1,1
